stage_id	tool_id	prerequisite	severity	detail
fastq.screen_taxonomy	kaiju	source_backlog_missing_evidence_map	advisory	kaiju cannot be treated as world-class closed for fastq.screen_taxonomy until source_backlog_missing_evidence_map is resolved
fastq.screen_taxonomy	kraken2	missing_paper_archive	blocking	kraken2 cannot be treated as world-class closed for fastq.screen_taxonomy until missing_paper_archive is resolved
fastq.screen_taxonomy	kraken2	missing_paper_root	blocking	kraken2 cannot be treated as world-class closed for fastq.screen_taxonomy until missing_paper_root is resolved
fastq.screen_taxonomy	kraken2	missing_upstream_archive	blocking	kraken2 cannot be treated as world-class closed for fastq.screen_taxonomy until missing_upstream_archive is resolved
fastq.screen_taxonomy	kraken2	pending_container_digest	blocking	kraken2 cannot be treated as world-class closed for fastq.screen_taxonomy until pending_container_digest is resolved
fastq.screen_taxonomy	kraken2	source_backlog_missing_evidence_map	blocking	kraken2 cannot be treated as world-class closed for fastq.screen_taxonomy until source_backlog_missing_evidence_map is resolved
fastq.screen_taxonomy	krakenuniq	missing_paper_archive	advisory	krakenuniq cannot be treated as world-class closed for fastq.screen_taxonomy until missing_paper_archive is resolved
fastq.screen_taxonomy	krakenuniq	missing_paper_root	advisory	krakenuniq cannot be treated as world-class closed for fastq.screen_taxonomy until missing_paper_root is resolved
fastq.screen_taxonomy	krakenuniq	missing_upstream_archive	advisory	krakenuniq cannot be treated as world-class closed for fastq.screen_taxonomy until missing_upstream_archive is resolved
fastq.screen_taxonomy	krakenuniq	source_backlog_missing_evidence_map	advisory	krakenuniq cannot be treated as world-class closed for fastq.screen_taxonomy until source_backlog_missing_evidence_map is resolved
fastq.trim_reads	seqpurge	missing_container_ref	advisory	seqpurge cannot be treated as world-class closed for fastq.trim_reads until missing_container_ref is resolved
fastq.trim_reads	seqpurge	missing_runtime_surface	advisory	seqpurge cannot be treated as world-class closed for fastq.trim_reads until missing_runtime_surface is resolved
fastq.trim_reads	seqpurge	missing_upstream_archive	advisory	seqpurge cannot be treated as world-class closed for fastq.trim_reads until missing_upstream_archive is resolved
fastq.trim_reads	seqpurge	registry_not_production	advisory	seqpurge cannot be treated as world-class closed for fastq.trim_reads until registry_not_production is resolved
fastq.validate_reads	fastq_scan	placeholder_container_digest	advisory	fastq_scan cannot be treated as world-class closed for fastq.validate_reads until placeholder_container_digest is resolved
fastq.validate_reads	fastqvalidator	placeholder_container_digest	blocking	fastqvalidator cannot be treated as world-class closed for fastq.validate_reads until placeholder_container_digest is resolved
fastq.validate_reads	fqtools	placeholder_container_digest	advisory	fqtools cannot be treated as world-class closed for fastq.validate_reads until placeholder_container_digest is resolved
fastq.validate_reads	seqtk	placeholder_container_digest	advisory	seqtk cannot be treated as world-class closed for fastq.validate_reads until placeholder_container_digest is resolved
