stage_id	tool_id	stage_status	tool_status	is_default	execution_status	runtime_support	normalization_support	benchmark_support	registry_status	runtimes	container_ref	dockerfile	apptainer_def	evidence_count	claim_ids	decision_id	binding_id
fastq.merge_pairs	leehom	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/leehom@sha256:146f111ee336a7d01cba5861a9672d75a7739ad7ece923925bbd90c2550341b1	containers/docker/arm64/Dockerfile.leehom	containers/apptainer/shared/leehom.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.merge_pairs	vsearch	governed	allowed	false	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/vsearch@sha256:c16ef98d6fd67ac0b8eea3ebb4f3dc6df9c582d6f838317d5f6ccc7a09e60bb3	containers/docker/arm64/Dockerfile.vsearch	containers/apptainer/shared/vsearch.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.normalize_abundance	seqkit	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	containers/docker/arm64/Dockerfile.seqkit	containers/apptainer/shared/seqkit.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.normalize_primers	cutadapt	governed	default	true	closed	runnable	observer_specialized	cohort	production	docker,apptainer	bijuxdna/cutadapt@sha256:4405f2effc1a195c93098408aa36268357c25b758348bfe6da8790bbe7e842ba	containers/docker/arm64/Dockerfile.cutadapt	containers/apptainer/shared/cutadapt.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.normalize_read_names	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.prepare_adapter_bank	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.prepare_host_reference_bundle	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.prepare_primer_bank	bijux_dna	governed	disallowed	false	declared_only	declared_only	none	none	production	docker,apptainer	bijuxdna/bijux_dna:workspace	containers/docker/arm64/Dockerfile.bijux_dna	containers/apptainer/shared/bijux_dna.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.profile_overrepresented_sequences	fastqc	governed	default	true	closed	runnable	observer_specialized	comparable	production	docker,apptainer	bijuxdna/fastqc@sha256:e0b83c56262486cab51020e2bb809b391ad9b38ba7a898588ab15b73586ee789	containers/docker/arm64/Dockerfile.fastqc	containers/apptainer/shared/fastqc.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
fastq.profile_overrepresented_sequences	fastq_scan	governed	allowed	false	closed	runnable	observer_specialized	comparable	production	docker,apptainer	bijuxdna/fastq_scan@sha256:973e958d84a4a5d779a71e34f890b0a5335607e1fe56207c8a145409fd2937ad	containers/docker/arm64/Dockerfile.fastq_scan	containers/apptainer/shared/fastq_scan.def	5	claim.fastq.execution-surface-authority,claim.fastq.default-settings-authority,claim.fastq.tool-registry-authority,claim.fastq.environment-resolution-authority,claim.fastq.planned-tools-remain-excluded	decision.fastq.environment-tool-surface	binding.fastq.environment-tool-surface
