tool_id	stage_ids	reference_status	registry_status	version	default_version	version_rule	upstream	citation	license	pinned_commit	pin_strategy	runtimes	container_ref	dockerfile	apptainer_def
pear	fastq.merge_pairs	governed	production	0.9.6	0.9.6	pinned	https://github.com/xflouris/PEAR	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC3933873/	GPL-3.0	sha256:4e00e9ffabc5ed46115efab5b6bae946913f1713bb314fd4acb7c379c37efae6	pinned	docker,apptainer	bijuxdna/pear@sha256:4e00e9ffabc5ed46115efab5b6bae946913f1713bb314fd4acb7c379c37efae6	containers/docker/arm64/Dockerfile.pear	containers/apptainer/shared/pear.def
prinseq	fastq.filter_low_complexity,fastq.filter_reads,fastq.profile_read_lengths,fastq.trim_reads	governed	production	1.2.4	1.2.4	pinned	https://github.com/Adrian-Cantu/PRINSEQ-plus-plus	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC3051327/	GPL-3.0	sha256:7216ffecd7913edaea33ec76b3775ab0cb0d60064f31e96c63e043d578a3f971	pinned	docker,apptainer	bijuxdna/prinseq@sha256:7216ffecd7913edaea33ec76b3775ab0cb0d60064f31e96c63e043d578a3f971	containers/docker/arm64/Dockerfile.prinseq	containers/apptainer/shared/prinseq.def
rcorrector	fastq.correct_errors	governed	production	1.0.7	1.0.7	pinned	https://github.com/mourisl/Rcorrector	paper:https://gigascience.biomedcentral.com/articles/10.1186/s13742-015-0089-y	GPL-3.0	sha256:cfec0e32dc980f61681376e78961785c8f74804bd90ebabccb98f825e5fdb454	pinned	docker,apptainer	bijuxdna/rcorrector@sha256:cfec0e32dc980f61681376e78961785c8f74804bd90ebabccb98f825e5fdb454	containers/docker/arm64/Dockerfile.rcorrector	containers/apptainer/shared/rcorrector.def
seqfu	fastq.normalize_abundance,fastq.profile_read_lengths,fastq.profile_reads	tool_contract_metadata	planned	not_applicable	planned	pinned	https://github.com/telatin/seqfu2	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC8148589/	GPL-3.0	not_applicable	pinned	not_applicable	not_applicable	not_applicable	not_applicable
seqkit	fastq.filter_reads,fastq.normalize_abundance,fastq.profile_overrepresented_sequences,fastq.profile_reads,fastq.trim_reads,fastq.trim_terminal_damage	governed	production	2.8.2	2.8.2	pinned	https://github.com/shenwei356/seqkit	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	GPL-3.0	sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	pinned	docker,apptainer	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	containers/docker/arm64/Dockerfile.seqkit	containers/apptainer/shared/seqkit.def
seqkit_stats	fastq.profile_read_lengths,fastq.profile_reads	governed	production	2.7.0	2.7.0	pinned	https://github.com/seqkit_stats/seqkit_stats	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5051824/	GPL-3.0	sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	pinned	docker,apptainer	bijuxdna/seqkit@sha256:ca3dc13e3fef5d34927c44b2d8cd2bc6708c2c256f42e51369d7b1203b0d2991	containers/docker/arm64/Dockerfile.seqkit_stats	containers/apptainer/shared/seqkit_stats.def
seqpurge	fastq.trim_reads	tool_contract_metadata	planned	not_applicable	latest-pinned	pinned	https://github.com/imgag/ngs-bits	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC4862148/	GPL-3.0	not_applicable	pinned	not_applicable	not_applicable	not_applicable	not_applicable
seqtk	fastq.validate_reads	governed	production	1.5-r133	1.5-r133	pinned	https://github.com/lh3/seqtk.git	software:https://github.com/lh3/seqtk	GPL-3.0	sha256:16e615286a66f1654278a862ad47c3d62bdfabbbf17cb2e12a568256d1b05024	pinned	docker,apptainer	bijuxdna/seqtk@sha256:16e615286a66f1654278a862ad47c3d62bdfabbbf17cb2e12a568256d1b05024	containers/docker/arm64/Dockerfile.seqtk	containers/apptainer/shared/seqtk.def
skewer	fastq.trim_reads	governed	production	978e8e46cba4	978e8e46cba4	pinned	https://github.com/relipmoc/skewer	paper:https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-15-182	GPL-3.0	git:978e8e46cba44595ece623e5387749284a86b74b	pinned	docker,apptainer	bijuxdna/skewer:978e8e46cba4	containers/docker/arm64/Dockerfile.skewer	containers/apptainer/shared/skewer.def
sortmerna	fastq.deplete_rrna	governed	production	4.3.7	4.3.7	pinned	https://github.com/biocore/sortmerna	paper:https://academic.oup.com/bioinformatics/article/28/24/3211/246053	GPL-3.0	sha256:2021b21d075d06404339ec019b9729f2dfb820685c86835df654c2fb7d8b447c	pinned	docker,apptainer	bijuxdna/sortmerna@sha256:2021b21d075d06404339ec019b9729f2dfb820685c86835df654c2fb7d8b447c	containers/docker/arm64/Dockerfile.sortmerna	containers/apptainer/shared/sortmerna.def
star	fastq.index_reference	governed	production	2.7.11b	2.7.11b	pinned	https://github.com/alexdobin/STAR	paper:https://academic.oup.com/bioinformatics/article/29/1/15/272537	GPL-3.0	release:2.7.11b	pinned	docker,apptainer	bijuxdna/star:2.7.11b	containers/docker/arm64/Dockerfile.star	containers/apptainer/shared/star.def
trim_galore	fastq.trim_reads	governed	production	0.6.10	0.6.10	pinned	https://github.com/FelixKrueger/TrimGalore	software:https://doi.org/10.5281/zenodo.7598955	GPL-3.0	sha256:f323405a5a0ba19bbdae765dd4269e9156c415993977996079b63c5eb5bb0a61	pinned	docker,apptainer	bijuxdna/trim_galore@sha256:f323405a5a0ba19bbdae765dd4269e9156c415993977996079b63c5eb5bb0a61	containers/docker/arm64/Dockerfile.trim_galore	containers/apptainer/shared/trim_galore.def
trimmomatic	fastq.trim_reads	governed	production	0.39	0.39	pinned	http://www.usadellab.org/cms/?page=trimmomatic	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC4103590/	GPL-3.0	sha256:41c0d161444ee7bb6b36ead3bbceb998af611be6ead6784231c5440e092bd5a4	pinned	docker,apptainer	bijuxdna/trimmomatic@sha256:41c0d161444ee7bb6b36ead3bbceb998af611be6ead6784231c5440e092bd5a4	containers/docker/arm64/Dockerfile.trimmomatic	containers/apptainer/shared/trimmomatic.def
umi_tools	fastq.extract_umis	governed	production	1.1.6	1.1.6	pinned	https://github.com/umi_tools/umi_tools	paper:https://genome.cshlp.org/content/27/3/491	GPL-3.0	sha256:b2913af8c02c1eeea5de7a4b5c120f65e2003b90479c8873f0ec37689d36296c	pinned	docker,apptainer	bijuxdna/umi_tools@sha256:b2913af8c02c1eeea5de7a4b5c120f65e2003b90479c8873f0ec37689d36296c	containers/docker/arm64/Dockerfile.umi_tools	containers/apptainer/shared/umi_tools.def
vsearch	fastq.cluster_otus,fastq.merge_pairs,fastq.remove_chimeras	governed	production	2.28.1	2.28.1	pinned	https://github.com/vsearch/vsearch	paper:https://pmc.ncbi.nlm.nih.gov/articles/PMC5075697/	GPL-3.0	sha256:c16ef98d6fd67ac0b8eea3ebb4f3dc6df9c582d6f838317d5f6ccc7a09e60bb3	pinned	docker,apptainer	bijuxdna/vsearch@sha256:c16ef98d6fd67ac0b8eea3ebb4f3dc6df9c582d6f838317d5f6ccc7a09e60bb3	containers/docker/arm64/Dockerfile.vsearch	containers/apptainer/shared/vsearch.def
