repo_id	clone_url	mirror_path	archive_path	reference_count	sample_sources
biocore/sortmerna	https://github.com/biocore/sortmerna.git	science/docs/upstream/github-repos/mirrors/biocore/sortmerna.git	science/docs/upstream/github-repos/archives/biocore--sortmerna.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/sortmerna.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
bioinformatics-centre/kaiju	https://github.com/bioinformatics-centre/kaiju.git	science/docs/upstream/github-repos/mirrors/bioinformatics-centre/kaiju.git	science/docs/upstream/github-repos/archives/bioinformatics-centre--kaiju.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/kaiju.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
brentp/mosdepth	https://github.com/brentp/mosdepth.git	science/docs/upstream/github-repos/mirrors/brentp/mosdepth.git	science/docs/upstream/github-repos/archives/brentp--mosdepth.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/mosdepth.yaml
broadinstitute/gatk	https://github.com/broadinstitute/gatk.git	science/docs/upstream/github-repos/mirrors/broadinstitute/gatk.git	science/docs/upstream/github-repos/archives/broadinstitute--gatk.tar.gz	2	docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/gatk.yaml
broadinstitute/picard	https://github.com/broadinstitute/picard.git	science/docs/upstream/github-repos/mirrors/broadinstitute/picard.git	science/docs/upstream/github-repos/archives/broadinstitute--picard.tar.gz	2	docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/picard.yaml
cutadapt/cutadapt	https://github.com/cutadapt/cutadapt.git	science/docs/upstream/github-repos/mirrors/cutadapt/cutadapt.git	science/docs/upstream/github-repos/archives/cutadapt--cutadapt.tar.gz	1	configs/ci/registry/tool_registry.toml
dstreett/FLASH2	https://github.com/dstreett/FLASH2.git	science/docs/upstream/github-repos/mirrors/dstreett/FLASH2.git	science/docs/upstream/github-repos/archives/dstreett--FLASH2.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/flash2.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
fastqvalidator/fastqvalidator	https://github.com/fastqvalidator/fastqvalidator.git	science/docs/upstream/github-repos/mirrors/fastqvalidator/fastqvalidator.git	science/docs/upstream/github-repos/archives/fastqvalidator--fastqvalidator.tar.gz	1	configs/ci/registry/tool_registry.toml
fbreitwieser/krakenuniq	https://github.com/fbreitwieser/krakenuniq.git	science/docs/upstream/github-repos/mirrors/fbreitwieser/krakenuniq.git	science/docs/upstream/github-repos/archives/fbreitwieser--krakenuniq.tar.gz	5	configs/ci/registry/tool_registry.toml;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/fastq/tools/krakenuniq.yaml;science/docs/TODO_DOWNLOAD.md;science/docs/upstream/fastq/tools/EVIDENCE_MAP.tsv
genid/Yleaf	https://github.com/genid/Yleaf.git	science/docs/upstream/github-repos/mirrors/genid/Yleaf.git	science/docs/upstream/github-repos/archives/genid--Yleaf.tar.gz	4	configs/ci/registry/tool_registry_experimental.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/yleaf.yaml
ginolhac/mapDamage	https://github.com/ginolhac/mapDamage.git	science/docs/upstream/github-repos/mirrors/ginolhac/mapDamage.git	science/docs/upstream/github-repos/archives/ginolhac--mapDamage.tar.gz	4	configs/ci/registry/tool_registry.toml;docs/20-science/TOOL_INDEX.md;docs/30-operations/CONTAINER_LICENSE_INDEX.md;domain/bam/tools/mapdamage2.yaml
