stage_id	execution_status	default_tool	closure_status	digest_class	evidence_readiness	license_status	package_status	planner_status	lock_blockers	proof_blockers	asset_blockers	blockers
fastq.detect_instrument_artifacts	declared_only		declared_only									no_default_tool
fastq.estimate_library_complexity_prealign	closed	bijux_dna	blocked	tag_only	needs_evidence	ready	domain_package_missing	missing_planner_snapshot	resolved_image_digest:missing;image_size_bytes:missing;resolved_sif_sha256:missing;frontend_resolved_sif_sha256:missing;pinned_commit:missing;frontend_smoke_version_output_sha256:missing	docker_cyclonedx_sbom;docker_spdx_sbom;apptainer_sbom;smoke_manifest		digest_tag_only;needs_evidence;package:domain_package_missing;planner:missing_planner_snapshot;lock:resolved_image_digest:missing;lock:image_size_bytes:missing;lock:resolved_sif_sha256:missing;lock:frontend_resolved_sif_sha256:missing;lock:pinned_commit:missing;lock:frontend_smoke_version_output_sha256:missing;proof:docker_cyclonedx_sbom;proof:docker_spdx_sbom;proof:apptainer_sbom;proof:smoke_manifest
fastq.interleave_reads	declared_only		declared_only									no_default_tool
fastq.materialize_qc_manifest	declared_only		declared_only									no_default_tool
fastq.normalize_read_names	declared_only		declared_only									no_default_tool
fastq.prepare_adapter_bank	declared_only		declared_only									no_default_tool
fastq.prepare_host_reference_bundle	declared_only		declared_only									no_default_tool
fastq.prepare_primer_bank	declared_only		declared_only									no_default_tool
fastq.repair_pairs	declared_only		declared_only									no_default_tool
fastq.subsample_reads	declared_only		declared_only									no_default_tool
fastq.verify_assets	declared_only		declared_only									no_default_tool
